the_geom,PHYSICALID,OBJECTID,STNAME_LAB,BOROUGHCOD,SEGMENTLEN,B5SC,BPHYS_ID,PlntSeas
"LINESTRING (-74.01150567189198 40.70295884350296, -74.0111655805861 40.701781493814075)",48,24,BROAD ST,1,439.18633052,113590,148,Fall11
"LINESTRING (-74.01287851628065 40.702664500890904, -74.01234346004007 40.702756150566834)",114,86,WATER ST,1,152.06586871,133490,1114,Fall13
"LINESTRING (-74.0081264528701 40.70467179677717, -74.00739218802958 40.70518268844734)",121,93,WATER ST,1,275.84645111,133490,1121,Fall13
"LINESTRING (-74.01438184579396 40.70822414368651, -74.01520160115838 40.708456433255144)",136,108,RECTOR ST,1,242.51978384,129440,1136,Fall11
"LINESTRING (-74.00391758977844 40.72004031158225, -74.00351186461783 40.72055635274284)",159,131,CHURCH ST,1,219.08015774,115350,1159,Fall11
"LINESTRING (-74.0105613003394 40.722201657154145, -74.01045182476646 40.722859264147985)",445,389,WASHINGTON ST,1,241.50051332,133390,1445,Fall11
"LINESTRING (-74.00896796780617 40.72674605787803, -74.00884511385952 40.727470157548616)",460,404,GREENWICH ST,1,266.00054045,121790,1460,Spring12
"LINESTRING (-74.00884511385952 40.727470157548616, -74.00872442356493 40.72819516636618)",461,405,GREENWICH ST,1,266.25285658,121790,1461,Spring12
"LINESTRING (-74.00872442356493 40.72819516636618, -74.00859272132082 40.72891527704039)",462,406,GREENWICH ST,1,264.88602114,121790,1462,Spring12
"LINESTRING (-74.00778071891598 40.72456452691214, -74.00766958578386 40.725192279283185)",608,546,HUDSON ST,1,230.774752,123190,1608,Fall14
"LINESTRING (-74.00539036092556 40.73941197259385, -74.00529178802803 40.74002322349898)",631,568,HUDSON ST,1,224.36707127,123190,1631,Spring13
"LINESTRING (-73.99427445670298 40.71562161347863, -73.99495472317896 40.715856471354826)",677,612,CANAL ST,1,207.08472636,114010,1677,Fall07
"LINESTRING (-73.99075515363099 40.71455407281728, -73.99113282082077 40.71466862943536)",683,618,CANAL ST,1,112.7092883,114010,1683,Fall11
"LINESTRING (-73.99022012638989 40.71440494010887, -73.99075515363099 40.71455407281728)",684,619,CANAL ST,1,157.95917471,114010,1684,Fall11
"LINESTRING (-73.98933656558283 40.71413337577776, -73.99022012638989 40.71440494010887)",685,620,CANAL ST,1,264.16959128,114010,1685,Fall11
"LINESTRING (-74.00878392848826 40.73187289257422, -74.01027197515869 40.7320097187471)",695,630,BARROW ST,1,415.41132655,112610,1695,Spring13
"LINESTRING (-74.00296962511027 40.73425234075482, -74.0045613441063 40.73400962882111)",715,650,W 10 ST,1,449.90292256,133970,1715,Spring13
"LINESTRING (-73.99924564883553 40.73478812476456, -73.99997260615302 40.73468790070191)",719,654,W 10 ST,1,204.74867227,133970,1719,Spring13
"LINESTRING (-73.99871443868271 40.734783861557744, -73.99887249148969 40.734838965291985, -73.99924564883551 40.734788125665055)",720,655,W 10 ST,1,153.24479581,133970,1720,Spring13
"LINESTRING (-74.00565777129187 40.726435107159624, -74.00554514443077 40.727156915542295)",743,677,VARICK ST,1,264.82351403,132685,1743,Fall14
"LINESTRING (-74.0027430618397 40.73360826702629, -74.00282971765672 40.73362387973907)",799,730,CHRISTOPHER ST,1,24.68023023,115210,1799,Spring13
"LINESTRING (-74.0012047583461 40.733843091859434, -74.00175809764825 40.733768243519116)",801,732,CHRISTOPHER ST,1,155.75805132,115210,1801,Spring13
"LINESTRING (-74.0003567915695 40.73397278877252, -74.0012047583461 40.733843091859434)",802,733,CHRISTOPHER ST,1,239.70907209,115210,1802,Spring13
"LINESTRING (-73.99965310356397 40.73406971948355, -74.0003567915695 40.73397278877252)",803,734,CHRISTOPHER ST,1,198.19107315,115210,1803,Spring13
"LINESTRING (-74.00482959386191 40.73754746980766, -74.00568704559069 40.73755187916383)",854,783,W 12 ST,1,237.62652762,134010,1854,Spring13
"LINESTRING (-74.00697298804752 40.72949499077293, -74.00840015910491 40.72962826892594)",868,797,CLARKSON ST,1,398.52077582,115420,1868,Spring13
"LINESTRING (-73.99417335258346 40.766504597273425, -73.99371965696626 40.76713262077644)",896,825,11 AV,1,261.05190044,111110,1896,Fall11
"LINESTRING (-74.00207771771674 40.716730895495715, -74.00291863437 40.717147750384264)",952,876,FRANKLIN ST,1,278.2195174,120890,1952,Fall11
"LINESTRING (-74.00095442249557 40.73170609830984, -74.00051066363521 40.732315222921564)",980,902,AVE OF THE AMERICAS,1,253.72358697,110510,1980,Spring13
"LINESTRING (-74.00051066363521 40.732315222921564, -74.00006657704031 40.73292923553128)",981,903,AVE OF THE AMERICAS,1,255.32586594,110510,1981,Spring13
"LINESTRING (-74.00702722189956 40.72449594666048, -74.00778071891598 40.72456452691214)",1048,967,BROOME ST,1,210.34273769,113810,11048,Fall14
"LINESTRING (-74.00427755325616 40.73339151388535, -74.0045613441063 40.73400962882111)",1067,986,BLEECKER ST,1,238.53783576,113310,11067,Spring13
"LINESTRING (-74.00397602150782 40.73291501992636, -74.00427755325616 40.73339151388535)",1068,987,BLEECKER ST,1,192.66812978,113310,11068,Spring13
"LINESTRING (-74.00361195873344 40.73232379427536, -74.00397602150782 40.73291501992636)",1074,993,BLEECKER ST,1,237.86237088,113310,11074,Spring13
"LINESTRING (-74.00355431342676 40.732223479453886, -74.00361195873344 40.73232379427536)",1075,994,BLEECKER ST,1,39.88692765,113310,11075,Spring13
"LINESTRING (-74.00329861608581 40.73174307581575, -74.00344698183861 40.73202121055715, -74.00355431342676 40.732223479453886)",1076,995,BLEECKER ST,1,188.82863985,113310,11076,Spring13
"LINESTRING (-74.00313982250591 40.73146486731568, -74.00329861608577 40.73174307491524)",1077,996,BLEECKER ST,1,110.50178209,113310,11077,Spring13
"LINESTRING (-74.00246883997245 40.73032437267538, -74.0028192209362 40.73091352136375)",1080,999,BLEECKER ST,1,235.59051211,113310,11080,Spring13
"LINESTRING (-74.00497612854684 40.715759939668104, -74.0061668838943 40.71630137683498)",1095,1014,THOMAS ST,1,384.54439485,132580,11095,Fall11
"LINESTRING (-74.00220337250663 40.72965325609243, -74.00134680872713 40.72988696026426, -74.00101918844061 40.73024661771534)",1223,1137,MINETTA ST,1,411.63071628,126190,11223,Spring12
"LINESTRING (-73.99960360348705 40.73104325631449, -74.00095442249557 40.73170609830984)",1266,1179,W 4 ST,1,445.51073346,133910,11266,Spring13
"LINESTRING (-73.99866067185415 40.755251762786905, -73.9982087060135 40.75586865676841)",1270,1183,10 AV,1,257.28178038,111010,11270,Spring08
"LINESTRING (-73.9982087060135 40.75586865676841, -73.99775836595857 40.75648752916395)",1271,1184,10 AV,1,257.692969,111010,11271,Spring08
"LINESTRING (-73.99775836595857 40.75648752916395, -73.99730671471512 40.757110506916206)",1272,1185,10 AV,1,259.17703156,111010,11272,Spring08
"LINESTRING (-73.99730671353086 40.757110506916185, -73.99723373708731 40.757209542730735, -73.99692177966884 40.757637580864504, -73.99685244854248 40.75773270923623)",1273,1186,10 AV,1,259.28014431,111010,11273,Spring08
"LINESTRING (-73.99680089694694 40.7577891595714, -73.99663529289849 40.758012922226186)",1275,1188,10 AV,1,93.54694451,111010,11275,Spring08
"LINESTRING (-73.99663529289849 40.758012922226186, -73.99640941566543 40.75833915842797)",1276,1189,10 AV,1,134.32512816,111010,11276,Spring08
"LINESTRING (-73.99640941566543 40.75833915842797, -73.99594236635282 40.75898097774803)",1277,1190,10 AV,1,267.24685451,111010,11277,Spring08
"LINESTRING (-73.99594236635282 40.75898097774803, -73.99547450245583 40.759626856358935)",1278,1191,10 AV,1,268.65006759,111010,11278,Spring08
"LINESTRING (-73.98806289566666 40.76979079950987, -73.98761512117859 40.77041544311086)",1295,1208,10 AV,1,259.18152472,111010,11295,Fall11
"LINESTRING (-73.99944838296874 40.71732979715052, -73.99931241740606 40.71755024127392)",1326,1237,BAXTER ST,1,88.71875943,112710,11326,Fall11
"LINESTRING (-73.99931241740606 40.71755024127392, -73.99875250890868 40.71844436191509)",1327,1238,BAXTER ST,1,360.84176582,112710,11327,Fall11
"LINESTRING (-73.99581650409682 40.75405662493305, -73.9953541810822 40.75468760035437)",1404,1310,9 AV,1,263.16104005,110910,11404,Spring08
"LINESTRING (-73.9953541810822 40.75468760035437, -73.99509842929993 40.75504558565237)",1405,1311,9 AV,1,148.43027447,110910,11405,Spring08
"LINESTRING (-73.99509842929993 40.75504558565237, -73.9949214207654 40.75529237947138)",1406,1312,9 AV,1,102.41914475,110910,11406,Spring08
"LINESTRING (-73.9949214207654 40.75529237947138, -73.99446824768512 40.755908862499055)",1407,1313,9 AV,1,257.31395115,110910,11407,Spring08
"LINESTRING (-73.99446824768512 40.755908862499055, -73.9940194476245 40.756527675324065)",1408,1314,9 AV,1,257.46751384,110910,11408,Spring08
"LINESTRING (-73.9940194476245 40.756527675324065, -73.9935619472169 40.75714385818563)",1409,1315,9 AV,1,257.80445234,110910,11409,Spring08
"LINESTRING (-73.9935619472169 40.75714385818563, -73.99337917150109 40.757395926196956)",1410,1316,9 AV,1,104.87152008,110910,11410,Spring08
"LINESTRING (-73.99337917150109 40.757395926196956, -73.99332464111649 40.75747718372083)",1411,1317,9 AV,1,33.23684856,110910,11411,Spring08
"LINESTRING (-73.99332464111649 40.75747718372083, -73.99329991052318 40.75751404986007, -73.9932604347037 40.75756497021389)",1412,1318,9 AV,1,36.61358297,110910,11412,Spring08
"LINESTRING (-73.9932604347037 40.75756497021389, -73.99320524180706 40.757636953339755)",1413,1319,9 AV,1,30.35791387,110910,11413,Spring08
"LINESTRING (-73.99320524180706 40.757636953339755, -73.99307076331125 40.75782742914409)",1414,1320,9 AV,1,78.76473779,110910,11414,Spring08
"LINESTRING (-73.99307076331125 40.75782742914409, -73.99263301195548 40.75842968668116)",1415,1321,9 AV,1,250.70594064,110910,11415,Spring08
"LINESTRING (-73.98894735369163 40.76348605371179, -73.98849591773896 40.764112876582836)",1424,1330,9 AV,1,260.37014405,110910,11424,Fall11
"LINESTRING (-73.98521720296351 40.768594630679345, -73.98476369205528 40.76922640086732)",1432,1338,9 AV,1,262.22284307,110910,11432,Fall11
"LINESTRING (-73.99986308191141 40.72699687457172, -73.99895488609411 40.72806787294327)",1448,1350,LA GUARDIA PL,1,464.34666506,144890,11448,Spring13
"LINESTRING (-74.00549799064622 40.720328112894954, -74.0052084873574 40.72062864444091)",1456,1358,W BROADWAY,1,135.75191887,144890,11456,Fall11
"LINESTRING (-74.00168306195309 40.71574412289317, -74.000818425956 40.71692970794546)",1656,1528,CENTRE ST,1,493.99066632,114590,11656,Fall11
"LINESTRING (-73.99569878945991 40.71877672956343, -73.99480779044528 40.71845742605226)",1673,1543,GRAND ST,1,273.01309774,121690,11673,Spring08
"LINESTRING (-73.99480779044528 40.71845742605226, -73.99382785643776 40.71814447660279)",1674,1544,GRAND ST,1,294.60027628,121690,11674,Spring08
"LINESTRING (-73.99382785643776 40.71814447660279, -73.99309432201859 40.7179224781461)",1675,1545,GRAND ST,1,218.83545113,121690,11675,Fall07
"LINESTRING (-73.99309432201859 40.7179224781461, -73.99222064364652 40.717658446927096)",1676,1546,GRAND ST,1,260.5939229,121690,11676,Fall11
"LINESTRING (-73.99222064364652 40.717658446927096, -73.99142272668885 40.71741757585569)",1677,1547,GRAND ST,1,237.96159042,121690,11677,Fall11
"LINESTRING (-73.99142272668874 40.71741757675624, -73.99130415271735 40.717381681635544, -73.99117623176953 40.71734295987608)",1678,1548,GRAND ST,1,73.53963545,121690,11678,Spring08
"LINESTRING (-73.99117623176964 40.717342958975564, -73.99070290092804 40.71720060511583)",1679,1549,GRAND ST,1,141.08991839,121690,11679,Spring08
"LINESTRING (-73.99070290092804 40.71720060511583, -73.98995019163749 40.71697197440224)",1680,1550,GRAND ST,1,224.67026142,121690,11680,Spring08
"LINESTRING (-73.98995019163749 40.71697197440224, -73.9891546381125 40.71670864708195)",1681,1551,GRAND ST,1,240.50003615,121690,11681,Spring08
"LINESTRING (-73.98836626286909 40.71644570219928, -73.98753508390378 40.71619665115886)",1683,1553,GRAND ST,1,247.63615842,121690,11683,Spring13
"LINESTRING (-73.98753508390378 40.71619665115886, -73.98672137868103 40.715952251763156)",1684,1554,GRAND ST,1,242.5087059,121690,11684,Fall12
"LINESTRING (-73.98672137868103 40.715952251763156, -73.98586696961056 40.71569636011211)",1685,1555,GRAND ST,1,254.54264135,121690,11685,Spring13
"LINESTRING (-73.98586696961037 40.71569636101265, -73.98544018202057 40.71556721067721, -73.98501239018654 40.71543775155239, -73.98425853672161 40.71520957869957)",1686,1556,GRAND ST,1,479.85992345,121690,11686,Spring13
"LINESTRING (-73.98164975901493 40.71446143564099, -73.98092383597515 40.71426465517145)",1691,1561,GRAND ST,1,213.63007557,121690,11691,Spring13
"LINESTRING (-73.98092383597515 40.71426465517145, -73.97996198745399 40.713972699370046)",1692,1562,GRAND ST,1,287.07861268,121690,11692,Spring13
"LINESTRING (-73.97996198745399 40.713972699370046, -73.97928983312856 40.71376171687841)",1693,1563,GRAND ST,1,201.56875731,121690,11693,Spring13
"LINESTRING (-73.99569464378624 40.76060075156794, -73.99782085908333 40.76149953293192)",1712,1581,W 43 ST,1,673.92166633,134630,11712,Spring12
"LINESTRING (-73.99498358118493 40.76030016137818, -73.99569464378624 40.76060075156794)",1713,1582,W 43 ST,1,225.38106376,134630,11713,Spring12
"LINESTRING (-73.9982255086107 40.71324346091981, -73.99798918896002 40.71272331042677)",1720,1589,OLIVER ST,1,200.51129535,127490,11720,Fall11
"LINESTRING (-73.99798918896002 40.71272331042677, -73.99776996837345 40.711970596561294)",1721,1590,OLIVER ST,1,280.8899088,127490,11721,Fall10
"LINESTRING (-73.99252855997325 40.75347391259653, -73.9953541810822 40.75468760035437)",1744,1613,W 36 ST,1,899.10522988,134490,11744,Spring12
"LINESTRING (-73.98684991118436 40.751081679215204, -73.98764453794713 40.75141923174574)",1747,1616,W 36 ST,1,252.18474844,134490,11747,Fall11
"LINESTRING (-73.98731032078743 40.75289242273258, -73.98878655070159 40.753516778437785)",1757,1625,W 38 ST,1,468.00424981,134530,11757,Fall11
"LINESTRING (-73.98594653100483 40.75231680529426, -73.98731032078743 40.75289242273258)",1758,1626,W 38 ST,1,432.1511597,134530,11758,Fall11
"LINESTRING (-73.98272387439214 40.75095894463442, -73.98594653100483 40.75231680529426)",1759,1627,W 38 ST,1,1020.77948241,134530,11759,Fall11
"LINESTRING (-73.99117738135767 40.7553298478128, -73.9940194476245 40.756527675324065)",1793,1660,W 39 ST,1,900.24079486,134550,11793,Spring12
"LINESTRING (-73.98227490396631 40.75157729879396, -73.98548819097519 40.75293517881552)",1797,1664,W 39 ST,1,1018.50576338,134550,11797,Fall11
"LINESTRING (-73.99932042286818 40.71591770653554, -74.00013820968468 40.71619973024124)",1841,1706,BAYARD ST,1,248.90033401,112810,11841,Fall11
"LINESTRING (-73.99430627864672 40.76247471313833, -73.99645693237058 40.763375762886234)",1844,1708,W 46 ST,1,680.23062548,134690,11844,Fall11
"LINESTRING (-73.9936093066775 40.76218343546555, -73.99430627864672 40.76247471313833)",1845,1709,W 46 ST,1,220.31875553,134690,11845,Fall11
"LINESTRING (-73.99600204811865 40.76399968032598, -73.99804140884012 40.7648631363522)",1876,1739,W 47 ST,1,646.61348397,134710,11876,Fall11
"LINESTRING (-73.990315176745 40.76160631549387, -73.99315623971017 40.762806360330536)",1879,1742,W 47 ST,1,900.32494762,134710,11879,Fall11
"LINESTRING (-73.9960705645635 40.709771395627214, -73.99410214448716 40.710086805608704)",1906,1768,WATER ST,1,557.69131586,133490,11906,Fall11
"LINESTRING (-73.97118521016884 40.76677028931275, -73.97072777432889 40.767393722433596)",1964,1824,5 AV,1,260.09010513,110410,11964,Fall09
"LINESTRING (-73.94878702865137 40.79748283818315, -73.94831125411173 40.798129217872194)",2013,1873,5 AV,1,269.8372636,110410,12013,Fall09
"LINESTRING (-73.94831125411173 40.798129217872194, -73.94820641430445 40.798272850923034, -73.94815384298548 40.79834487625937, -73.94810109006053 40.798417148226065, -73.94805130142407 40.79848535935039, -73.94784679114255 40.79876554297504)",2014,1874,5 AV,1,265.11272372,110410,12014,Spring08
"LINESTRING (-73.94697366773411 40.79996170304417, -73.94646133856004 40.80066530547713)",2015,1875,5 AV,1,292.9741834,110410,12015,Fall12
"LINESTRING (-73.94646133856004 40.80066530547713, -73.94596789742512 40.80134239471456)",2016,1876,5 AV,1,281.98967272,110410,12016,Spring08
"LINESTRING (-73.94596789742512 40.80134239471456, -73.94550863914664 40.80197023163181)",2017,1877,5 AV,1,261.70642918,110410,12017,Spring08
"LINESTRING (-73.94550863914664 40.80197023163181, -73.94505127968098 40.80259859886022)",2018,1878,5 AV,1,261.62012934,110410,12018,Spring08
"LINESTRING (-73.99482160157291 40.730349865247824, -73.9940355759089 40.73127614418574)",2024,1883,GREENE ST,1,401.6787255,121730,12024,Spring13
"LINESTRING (-73.99632720128774 40.71759616388335, -73.99614247133403 40.71788219673697, -73.99597576469165 40.71817497383364, -73.9958277207242 40.71847349570802, -73.99569878945991 40.71877672956343)",2031,1890,ELIZABETH ST,1,464.72027465,120190,12031,Fall11
"LINESTRING (-73.97080361219892 40.75174820078589, -73.96847711117219 40.750783524931684)",2053,1912,E 45 ST,1,734.18848848,117890,12053,Spring13
"LINESTRING (-73.97736845837075 40.77936425253051, -73.98021036676636 40.78056041714469)",2062,1921,W 75 ST,1,899.66117131,135270,12062,Spring15
"LINESTRING (-73.98305226990738 40.78175941015217, -73.98477889087489 40.78248292509435)",2067,1926,W 75 ST,1,546.01399208,135270,12067,Fall11
"LINESTRING (-73.97753531627495 40.72587667432488, -73.97709136675971 40.72646516853995)",2068,1927,AV C,1,247.20777334,112310,12068,Fall13
"LINESTRING (-73.97797698766337 40.72528822384266, -73.97753531627495 40.72587667432488)",2069,1928,AV C,1,246.88071045,112310,12069,Fall13
"LINESTRING (-73.97709136675971 40.72646516853995, -73.97663855343211 40.72708951746368)",2070,1929,AV C,1,259.7965029,112310,12070,Fall13
"LINESTRING (-73.97663855343178 40.727089518364195, -73.97649858361335 40.72729067617088, -73.97617988230066 40.727748695924824)",2071,1930,AV C,1,271.73117763,112310,12071,Fall13
"LINESTRING (-73.97617988230066 40.727748695924824, -73.97569651121078 40.72847505334607)",2072,1931,AV C,1,296.61476811,112310,12072,Fall13
"LINESTRING (-73.9784131721046 40.72469248367186, -73.97797698766337 40.72528822384266)",2095,1950,AV C,1,248.44711208,112310,12095,Spring11
"LINESTRING (-73.97885851370916 40.72408181394085, -73.9784131721046 40.72469248367186)",2096,1951,AV C,1,254.43531042,112310,12096,Spring11
"LINESTRING (-73.97928008217828 40.72350534040711, -73.97921642641076 40.72359238747322, -73.97909922698916 40.7237526524108, -73.97902895135306 40.72384875008785, -73.9789763430731 40.723920690284395, -73.9789254611779 40.72399026783595, -73.97885851370916 40.72408181394085)",2097,1952,AV C,1,240.34474255,112310,12097,Fall14
"LINESTRING (-73.97972660578763 40.72289059713329, -73.97963971260003 40.723010227079456, -73.97958805634609 40.72308134286522, -73.97953422828981 40.723155449733234, -73.9794806049684 40.723229274752406, -73.97943094956 40.72329763796517, -73.97938236214085 40.72336452901435, -73.97928008217828 40.72350534040711)",2098,1953,AV C,1,255.89347949,112310,12098,Fall14
"LINESTRING (-73.98016792291226 40.72228320834379, -73.97972660578792 40.722890596232794)",2099,1954,AV C,1,252.85055087,112310,12099,Fall12
"LINESTRING (-73.98108671597947 40.721024684733244, -73.98060653293837 40.72167733921944)",2101,1956,AV C,1,272.50089075,112310,12101,Fall12
"LINESTRING (-73.97080361219892 40.75174820078589, -73.97034144735751 40.752378788838605)",2123,1977,2 AV,1,263.01839025,110110,12123,Spring13
"LINESTRING (-73.9698858979703 40.75299884890021, -73.9694310259929 40.7536235088701)",2125,1979,2 AV,1,260.14819154,110110,12125,Spring13
"LINESTRING (-73.9694310259929 40.7536235088701, -73.96897803788579 40.754250535826316)",2126,1980,2 AV,1,260.65070848,110110,12126,Spring13
"LINESTRING (-73.96852047091878 40.75487619002666, -73.96806568894296 40.755504203351606)",2128,1982,2 AV,1,261.20386477,110110,12128,Spring13
"LINESTRING (-73.96806568894296 40.755504203351606, -73.9676062078304 40.75613198837859)",2129,1983,2 AV,1,261.761056,110110,12129,Spring13
"LINESTRING (-73.96529307520983 40.759307837180046, -73.96480079543775 40.759982138883316)",2135,1989,2 AV,1,280.98497402,110110,12135,Spring13
"LINESTRING (-73.93728065038083 40.79767890589736, -73.93682131114846 40.79830733890245)",2193,2047,2 AV,1,261.91057796,110110,12193,Fall09
"LINESTRING (-73.98590859642233 40.73101907973175, -73.98544389914268 40.73165780652618)",2232,2086,2 AV,1,265.97032833,110110,12232,Spring13
"LINESTRING (-73.98898482024869 40.726778874878136, -73.98853907653154 40.72740249769751)",2239,2093,2 AV,1,258.62268236,110110,12239,Spring13
"LINESTRING (-73.98986956356244 40.725582170686764, -73.98942914193304 40.72618746315744)",2241,2095,2 AV,1,252.05912576,110110,12241,Spring13
"LINESTRING (-73.99034165724072 40.72493213464614, -73.99015381032432 40.72517355423358, -73.99013134077369 40.72520594272153, -73.98986956356244 40.725582170686764)",2242,2096,2 AV,1,270.6464492,110110,12242,Spring13
"LINESTRING (-73.99081902422084 40.72427429772356, -73.99034165842448 40.72493213374574)",2243,2097,2 AV,1,273.76852046,110110,12243,Spring13
"LINESTRING (-73.96985081443842 40.789673631190325, -73.9697698243487 40.78978321351446, -73.96972828414772 40.78983941906656, -73.96968426490272 40.78989897741556, -73.9696381234501 40.78996140598422, -73.969593639307 40.790021596326525, -73.96954501869574 40.79008737946801, -73.96939097592713 40.79029580094945)",2259,2113,COLUMBUS AV,1,259.99306703,115710,12259,Spring13
"LINESTRING (-73.96892782944994 40.790927292606916, -73.96847060591777 40.791562937972316)",2261,2115,COLUMBUS AV,1,263.93508845,115710,12261,Spring13
"LINESTRING (-73.96847060591777 40.791562937972316, -73.96801603211443 40.79218452448786)",2262,2116,COLUMBUS AV,1,259.09485893,115710,12262,Spring13
"LINESTRING (-73.96701559142572 40.79355696689287, -73.96659040591683 40.794139609378234, -73.96622621292157 40.794637976830515, -73.96622620225016 40.794637991235405, -73.96622606707896 40.79463817399729, -73.96562824593158 40.79545621943458)",2265,2119,COLUMBUS AV,1,791.43952181,115710,12265,Spring13
"LINESTRING (-73.98020236471501 40.77547948484068, -73.97974615592042 40.776106478623404)",2284,2137,COLUMBUS AV,1,261.05180524,115710,12284,Fall11
"LINESTRING (-73.98065976273116 40.774851678040484, -73.98020236471501 40.77547948484068)",2285,2138,COLUMBUS AV,1,261.47070915,115710,12285,Fall11
"LINESTRING (-73.9363992486851 40.80891343478534, -73.9359768067799 40.80947396813184, -73.93580780218792 40.80949763739732)",2295,2148,PARK AV,1,282.90742526,127790,12295,Spring09
"LINESTRING (-73.93731373611588 40.807655660511735, -73.93685318400422 40.80827731126964)",2297,2150,PARK AV,1,259.90854151,127790,12297,Spring09
"LINESTRING (-73.93777438319113 40.80703478233626, -73.93731373611588 40.807655660511735)",2298,2151,PARK AV,1,259.677059,127790,12298,Spring09
"LINESTRING (-73.93919018044643 40.805121663326965, -73.93869430593766 40.80579102946032)",2301,2154,PARK AV,1,279.85710792,127790,12301,Spring09
"LINESTRING (-73.94149106308481 40.801922877333865, -73.94103467495829 40.80255069784811)",2306,2159,PARK AV,1,261.31581876,127790,12306,Fall09
"LINESTRING (-73.9419559751251 40.801295959745865, -73.94149106308481 40.801922877333865)",2307,2160,PARK AV,1,262.17879162,127790,12307,Fall09
"LINESTRING (-73.94241619781401 40.800668830767414, -73.9419559751251 40.801295959745865)",2308,2161,PARK AV,1,261.61159405,127790,12308,Fall09
"LINESTRING (-73.94287855803188 40.800040116073795, -73.94241619781401 40.800668830767414)",2309,2162,PARK AV,1,262.4052159,127790,12309,Spring08
"LINESTRING (-73.94337271773216 40.7993657957916, -73.94287855803188 40.800040116073795)",2310,2163,PARK AV,1,281.20551722,127790,12310,Spring08
"LINESTRING (-73.94387310708109 40.79866945914361, -73.94337271773216 40.7993657957916)",2311,2164,PARK AV,1,289.06314646,127790,12311,Fall09
"LINESTRING (-73.945226988533 40.79682013292149, -73.94505544244062 40.79705446217572, -73.9449918269321 40.79714135887681, -73.94489289076041 40.797276502745156, -73.94482310255779 40.797371829578935, -73.9447632339438 40.7974536086025)",2312,2165,PARK AV,1,264.11114849,127790,12312,Spring08
"LINESTRING (-73.94569536515314 40.79617338142347, -73.945226988533 40.79682013292149)",2313,2166,PARK AV,1,268.96320756,127790,12313,Spring08
"LINESTRING (-73.94616864212851 40.795521794564486, -73.94569536515314 40.79617338142347)",2314,2167,PARK AV,1,271.16183596,127790,12314,Spring08
"LINESTRING (-73.9480201126523 40.79298028934937, -73.94753005389839 40.79365263294598)",2318,2171,PARK AV,1,280.03065077,127790,12318,Fall08
"LINESTRING (-73.94989465074772 40.79042537303142, -73.94943237884942 40.791050586834146)",2322,2175,PARK AV,1,261.28924706,127790,12322,Spring10
"LINESTRING (-73.95126462307338 40.788537350057595, -73.9508109881066 40.789166021231836, -73.9506866676085 40.78932978451498, -73.95063488609713 40.78939799419466, -73.95058760047777 40.78946028228371, -73.95053625164242 40.78952792118579, -73.95033884163378 40.78978795764836, -73.94989465074772 40.79042537303142)",2323,2176,PARK AV,1,785.63135901,127790,12323,Spring09
"LINESTRING (-73.95173247766375 40.787910067966834, -73.95126462307338 40.788537350057595)",2324,2177,PARK AV,1,262.70748209,127790,12324,Spring09
"LINESTRING (-73.95219178074476 40.787283501673826, -73.95173247766375 40.787910067966834)",2325,2178,PARK AV,1,261.32079154,127790,12325,Spring09
"LINESTRING (-73.95266136734993 40.78659501925628, -73.95219178074476 40.787283501673826)",2326,2179,PARK AV,1,282.54069899,127790,12326,Spring09
"LINESTRING (-73.95827194037554 40.77890783123061, -73.9578126994931 40.7795429502956)",2338,2191,PARK AV,1,264.0461777,127790,12338,Fall09
"LINESTRING (-73.95920430271512 40.77763808762657, -73.95873297358082 40.77827193648705)",2340,2193,PARK AV,1,265.27330021,127790,12340,Fall09
"LINESTRING (-73.95965881403106 40.77700354651205, -73.95920430271512 40.77763808762657)",2341,2194,PARK AV,1,263.23454204,127790,12341,Fall09
"LINESTRING (-73.96012099269505 40.77636905122564, -73.95965881403106 40.77700354651205)",2342,2195,PARK AV,1,264.2425979,127790,12342,Fall09
"LINESTRING (-73.96625390598415 40.76796087884224, -73.96579770038315 40.768587638925396)",2355,2208,PARK AV,1,260.98344167,127790,12355,Fall09
"LINESTRING (-73.96603855395823 40.767870296936024, -73.96557926722122 40.768495155192284)",2402,2255,PARK AV,1,260.79246499,127790,12402,Fall09
"LINESTRING (-73.95990403504987 40.77627556680547, -73.95944232694148 40.77691311410021)",2415,2268,PARK AV,1,265.15313356,127790,12415,Fall09
"LINESTRING (-73.95944232694148 40.77691311410021, -73.9589820324658 40.77754910122006)",2416,2269,PARK AV,1,264.46585236,127790,12416,Fall09
"LINESTRING (-73.9589820324658 40.77754910122006, -73.95851712411434 40.77818021486554)",2417,2270,PARK AV,1,263.53278116,127790,12417,Fall09
"LINESTRING (-73.95805650476814 40.77881504631291, -73.95758952825234 40.77944795545186)",2419,2272,PARK AV,1,264.38235171,127790,12419,Fall09
"LINESTRING (-73.95192166817702 40.787164892368075, -73.95145219676532 40.787793129146415)",2432,2285,PARK AV,1,263.23154307,127790,12432,Spring09
"LINESTRING (-73.95145219676532 40.787793129146415, -73.95099317817915 40.788421358494574)",2433,2286,PARK AV,1,261.81141585,127790,12433,Spring09
"LINESTRING (-73.95099317817915 40.788421358494574, -73.95055636890943 40.78906151721789)",2434,2287,PARK AV,1,262.73172107,127790,12434,Spring09
